sno,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
154,andhra-pradesh,2020,3,Others,312329,151582519.2
155,andhra-pradesh,2020,4,Peer-to-peer payments,152003791,5.66639E+11
156,andhra-pradesh,2020,4,Merchant payments,86581460,66654048150
157,andhra-pradesh,2020,4,Recharge & bill payments,46810304,20936337212
158,andhra-pradesh,2020,4,Financial Services,265470,305168772.5
159,andhra-pradesh,2020,4,Others,457527,306853355.6
160,andhra-pradesh,2021,1,Peer-to-peer payments,149313738,5.80542E+11
161,andhra-pradesh,2021,1,Merchant payments,97920281,70813192713
162,andhra-pradesh,2021,1,Recharge & bill payments,41940689,20546424964
163,andhra-pradesh,2021,1,Financial Services,225355,270313028.5
164,andhra-pradesh,2021,1,Others,347907,272546457.6
165,andhra-pradesh,2021,2,Peer-to-peer payments,189614879,7.37004E+11
166,andhra-pradesh,2021,2,Merchant payments,112875274,88512429437
167,andhra-pradesh,2021,2,Recharge & bill payments,49626902,24646800345
168,andhra-pradesh,2021,2,Financial Services,243237,265483044.4
169,andhra-pradesh,2021,2,Others,406842,308302224.4
170,andhra-pradesh,2021,3,Peer-to-peer payments,221280317,8.37841E+11
171,andhra-pradesh,2021,3,Merchant payments,158290953,1.18164E+11
172,andhra-pradesh,2021,3,Recharge & bill payments,51702350,27511344958
173,andhra-pradesh,2021,3,Financial Services,211171,297239697.8
174,andhra-pradesh,2021,3,Others,547759,403948275.6
175,andhra-pradesh,2021,4,Peer-to-peer payments,262006450,9.7127E+11
176,andhra-pradesh,2021,4,Merchant payments,207538904,1.52884E+11
177,andhra-pradesh,2021,4,Recharge & bill payments,51762842,31232784714
178,andhra-pradesh,2021,4,Financial Services,243951,332740108.7
179,andhra-pradesh,2021,4,Others,701856,545223415.7
180,andhra-pradesh,2022,1,Peer-to-peer payments,288488560,1.08963E+12
181,andhra-pradesh,2022,1,Merchant payments,242031836,1.6942E+11
182,andhra-pradesh,2022,1,Recharge & bill payments,51224170,34473036842
183,andhra-pradesh,2022,1,Financial Services,231651,324358965.1
184,andhra-pradesh,2022,1,Others,627694,474382234.3
185,andhra-pradesh,2022,2,Peer-to-peer payments,321362337,1.23141E+12
186,andhra-pradesh,2022,2,Merchant payments,292530048,2.05434E+11
187,andhra-pradesh,2022,2,Recharge & bill payments,56606969,42408541939
188,andhra-pradesh,2022,2,Financial Services,192751,245783011
189,andhra-pradesh,2022,2,Others,441925,357036084.9
190,andhra-pradesh,2022,3,Peer-to-peer payments,298804000,1.14016E+12
191,andhra-pradesh,2022,3,Merchant payments,291033653,2.02911E+11
192,andhra-pradesh,2022,3,Recharge & bill payments,52467708,41438764826
193,andhra-pradesh,2022,3,Financial Services,187190,239347241.5
194,andhra-pradesh,2022,3,Others,362484,323951101.6
195,andhra-pradesh,2022,4,Merchant payments,321632104,2.11899E+11
196,andhra-pradesh,2022,4,Peer-to-peer payments,315734006,1.17025E+12
197,andhra-pradesh,2022,4,Recharge & bill payments,52098850,41986837706
198,andhra-pradesh,2022,4,Financial Services,206459,250596592.1
199,andhra-pradesh,2022,4,Others,345658,339211363
200,arunachal-pradesh,2018,1,Recharge & bill payments,28729,5184132.515
201,arunachal-pradesh,2018,1,Peer-to-peer payments,13320,82889682.72
202,arunachal-pradesh,2018,1,Merchant payments,1042,2420374.191
203,arunachal-pradesh,2018,1,Financial Services,416,58893.76202
204,arunachal-pradesh,2018,1,Others,1990,1834252.818
205,arunachal-pradesh,2018,2,Recharge & bill payments,50700,10468878.54
206,arunachal-pradesh,2018,2,Peer-to-peer payments,26477,181576281.2
207,arunachal-pradesh,2018,2,Merchant payments,2378,4718953.44
208,arunachal-pradesh,2018,2,Financial Services,559,363761.8016
209,arunachal-pradesh,2018,2,Others,2043,1842317.369
210,arunachal-pradesh,2018,3,Recharge & bill payments,74122,15997565.91
211,arunachal-pradesh,2018,3,Peer-to-peer payments,49740,308106303.5
212,arunachal-pradesh,2018,3,Merchant payments,4738,5505694.568
213,arunachal-pradesh,2018,3,Financial Services,507,72133.84525
214,arunachal-pradesh,2018,3,Others,2039,2044708.969
215,arunachal-pradesh,2018,4,Recharge & bill payments,97751,20662691.88
216,arunachal-pradesh,2018,4,Peer-to-peer payments,68169,468831493.2
217,arunachal-pradesh,2018,4,Merchant payments,7726,11998974.1
218,arunachal-pradesh,2018,4,Financial Services,561,100597.9038
219,arunachal-pradesh,2018,4,Others,2222,2446271.969
220,arunachal-pradesh,2019,1,Recharge & bill payments,121303,26796895
221,arunachal-pradesh,2019,1,Peer-to-peer payments,93494,568554821.4
222,arunachal-pradesh,2019,1,Merchant payments,9214,11727218.4
223,arunachal-pradesh,2019,1,Financial Services,256,140622.8709
224,arunachal-pradesh,2019,1,Others,2239,2730548.598
225,arunachal-pradesh,2019,2,Recharge & bill payments,131988,30420803.41
226,arunachal-pradesh,2019,2,Peer-to-peer payments,106527,704237943.4
227,arunachal-pradesh,2019,2,Merchant payments,16828,13955724.13
228,arunachal-pradesh,2019,2,Financial Services,267,160660.8821
229,arunachal-pradesh,2019,2,Others,3046,3880742.524
230,arunachal-pradesh,2019,3,Recharge & bill payments,216228,50946104.94
231,arunachal-pradesh,2019,3,Peer-to-peer payments,133484,841037395.2
232,arunachal-pradesh,2019,3,Merchant payments,16900,17178248.07
233,arunachal-pradesh,2019,3,Financial Services,864,64089.1135
234,arunachal-pradesh,2019,3,Others,2758,3419197.418
235,arunachal-pradesh,2019,4,Recharge & bill payments,259183,63516906.09
236,arunachal-pradesh,2019,4,Peer-to-peer payments,177833,1100137448
237,arunachal-pradesh,2019,4,Merchant payments,19769,23192271.69
238,arunachal-pradesh,2019,4,Financial Services,314,305379.7988
239,arunachal-pradesh,2019,4,Others,2376,3421174.012
240,arunachal-pradesh,2020,1,Recharge & bill payments,329834,86011654.77
241,arunachal-pradesh,2020,1,Peer-to-peer payments,203429,1263912288
242,arunachal-pradesh,2020,1,Merchant payments,31181,28553052.13
243,arunachal-pradesh,2020,1,Financial Services,470,337812.9482
244,arunachal-pradesh,2020,1,Others,2261,2943873.067
245,arunachal-pradesh,2020,2,Recharge & bill payments,522495,145198528.2
246,arunachal-pradesh,2020,2,Peer-to-peer payments,247861,1630654426
247,arunachal-pradesh,2020,2,Merchant payments,35169,46446966.61
248,arunachal-pradesh,2020,2,Financial Services,1310,2655507.696
249,arunachal-pradesh,2020,2,Others,1939,1761404.402
250,arunachal-pradesh,2020,3,Recharge & bill payments,514907,153463816.2
251,arunachal-pradesh,2020,3,Peer-to-peer payments,370418,2361603431
252,arunachal-pradesh,2020,3,Merchant payments,72736,88145178.69
253,arunachal-pradesh,2020,3,Financial Services,1761,4030599.917
254,arunachal-pradesh,2020,3,Others,3005,2695539.361
255,arunachal-pradesh,2020,4,Peer-to-peer payments,522019,3254744938
256,arunachal-pradesh,2020,4,Recharge & bill payments,513895,152389181.2
257,arunachal-pradesh,2020,4,Merchant payments,167387,156682926
258,arunachal-pradesh,2020,4,Financial Services,1749,2391651.878
259,arunachal-pradesh,2020,4,Others,4079,4055324.315
260,arunachal-pradesh,2021,1,Peer-to-peer payments,566209,3460488559
261,arunachal-pradesh,2021,1,Recharge & bill payments,450649,142358376.9
262,arunachal-pradesh,2021,1,Merchant payments,155966,204958020.1
263,arunachal-pradesh,2021,1,Financial Services,1558,2672460.474
264,arunachal-pradesh,2021,1,Others,3074,3301662.609
