sno,State,Year,Quarter,brands,Count,Percentage
30,andaman-&-nicobar-islands,2018,3,Huawei,314,0.025845749
31,andaman-&-nicobar-islands,2018,3,Lenovo,299,0.024611079
32,andaman-&-nicobar-islands,2018,3,Others,1145,0.09424644
33,andaman-&-nicobar-islands,2018,4,Xiaomi,3719,0.244317435
34,andaman-&-nicobar-islands,2018,4,Samsung,2936,0.192878728
35,andaman-&-nicobar-islands,2018,4,Vivo,2742,0.180134017
36,andaman-&-nicobar-islands,2018,4,Oppo,1268,0.083300486
37,andaman-&-nicobar-islands,2018,4,Realme,760,0.049927736
38,andaman-&-nicobar-islands,2018,4,OnePlus,721,0.047365655
39,andaman-&-nicobar-islands,2018,4,Motorola,474,0.031139141
40,andaman-&-nicobar-islands,2018,4,Apple,455,0.029890947
41,andaman-&-nicobar-islands,2018,4,Huawei,398,0.026146367
42,andaman-&-nicobar-islands,2018,4,Lenovo,377,0.024766785
43,andaman-&-nicobar-islands,2018,4,Others,1372,0.090132703
44,andaman-&-nicobar-islands,2019,1,Xiaomi,4576,0.246074425
45,andaman-&-nicobar-islands,2019,1,Samsung,3567,0.191815444
46,andaman-&-nicobar-islands,2019,1,Vivo,3420,0.183910518
47,andaman-&-nicobar-islands,2019,1,Oppo,1600,0.086040009
48,andaman-&-nicobar-islands,2019,1,Realme,897,0.04823618
49,andaman-&-nicobar-islands,2019,1,OnePlus,855,0.04597763
50,andaman-&-nicobar-islands,2019,1,Motorola,561,0.030167778
51,andaman-&-nicobar-islands,2019,1,Apple,515,0.027694128
52,andaman-&-nicobar-islands,2019,1,Huawei,515,0.027694128
53,andaman-&-nicobar-islands,2019,1,Lenovo,426,0.022908152
54,andaman-&-nicobar-islands,2019,1,Others,1664,0.089481609
55,andaman-&-nicobar-islands,2019,2,Xiaomi,5296,0.243707146
56,andaman-&-nicobar-islands,2019,2,Samsung,4165,0.191661681
57,andaman-&-nicobar-islands,2019,2,Vivo,4102,0.188762597
58,andaman-&-nicobar-islands,2019,2,Oppo,1905,0.087662786
59,andaman-&-nicobar-islands,2019,2,Realme,1012,0.046569417
60,andaman-&-nicobar-islands,2019,2,OnePlus,950,0.04371635
61,andaman-&-nicobar-islands,2019,2,Huawei,644,0.029635084
62,andaman-&-nicobar-islands,2019,2,Motorola,630,0.028990843
63,andaman-&-nicobar-islands,2019,2,Apple,569,0.026183793
64,andaman-&-nicobar-islands,2019,2,Lenovo,477,0.021950209
65,andaman-&-nicobar-islands,2019,2,Others,1981,0.091160094
66,andaman-&-nicobar-islands,2019,3,Xiaomi,5819,0.243157411
67,andaman-&-nicobar-islands,2019,3,Vivo,4685,0.195771175
68,andaman-&-nicobar-islands,2019,3,Samsung,4508,0.188374911
69,andaman-&-nicobar-islands,2019,3,Oppo,2108,0.088086582
70,andaman-&-nicobar-islands,2019,3,Realme,1158,0.048389119
71,andaman-&-nicobar-islands,2019,3,OnePlus,1045,0.04366721
72,andaman-&-nicobar-islands,2019,3,Huawei,725,0.030295433
73,andaman-&-nicobar-islands,2019,3,Motorola,660,0.02757929
74,andaman-&-nicobar-islands,2019,3,Apple,630,0.026325686
75,andaman-&-nicobar-islands,2019,3,Lenovo,483,0.020183026
76,andaman-&-nicobar-islands,2019,3,Others,2110,0.088170156
77,andaman-&-nicobar-islands,2019,4,Xiaomi,6259,0.241101695
78,andaman-&-nicobar-islands,2019,4,Vivo,5190,0.199922958
79,andaman-&-nicobar-islands,2019,4,Samsung,4900,0.188751926
80,andaman-&-nicobar-islands,2019,4,Oppo,2329,0.089714946
81,andaman-&-nicobar-islands,2019,4,Realme,1329,0.051194145
82,andaman-&-nicobar-islands,2019,4,OnePlus,1124,0.043297381
83,andaman-&-nicobar-islands,2019,4,Huawei,798,0.030739599
84,andaman-&-nicobar-islands,2019,4,Motorola,682,0.026271186
85,andaman-&-nicobar-islands,2019,4,Apple,678,0.026117103
86,andaman-&-nicobar-islands,2019,4,Lenovo,488,0.018798151
87,andaman-&-nicobar-islands,2019,4,Others,2183,0.084090909
88,andaman-&-nicobar-islands,2020,1,Xiaomi,6803,0.239812465
89,andaman-&-nicobar-islands,2020,1,Vivo,5880,0.207275804
90,andaman-&-nicobar-islands,2020,1,Samsung,5335,0.188064016
91,andaman-&-nicobar-islands,2020,1,Oppo,2557,0.090136774
92,andaman-&-nicobar-islands,2020,1,Realme,1511,0.053264241
93,andaman-&-nicobar-islands,2020,1,OnePlus,1184,0.041737169
94,andaman-&-nicobar-islands,2020,1,Huawei,891,0.031408629
95,andaman-&-nicobar-islands,2020,1,Apple,735,0.025909475
96,andaman-&-nicobar-islands,2020,1,Motorola,715,0.025204456
97,andaman-&-nicobar-islands,2020,1,Lenovo,500,0.017625494
98,andaman-&-nicobar-islands,2020,1,Others,2257,0.079561478
99,andaman-&-nicobar-islands,2020,2,Xiaomi,7805,0.238612045
100,andaman-&-nicobar-islands,2020,2,Vivo,7122,0.217731581
101,andaman-&-nicobar-islands,2020,2,Samsung,6030,0.184347294
102,andaman-&-nicobar-islands,2020,2,Oppo,2976,0.090981351
103,andaman-&-nicobar-islands,2020,2,Realme,1761,0.053836747
104,andaman-&-nicobar-islands,2020,2,OnePlus,1271,0.038856619
105,andaman-&-nicobar-islands,2020,2,Huawei,1005,0.030724549
106,andaman-&-nicobar-islands,2020,2,Apple,792,0.024212779
107,andaman-&-nicobar-islands,2020,2,Motorola,779,0.023815347
108,andaman-&-nicobar-islands,2020,2,Lenovo,552,0.016875573
109,andaman-&-nicobar-islands,2020,2,Others,2617,0.080006114
110,andaman-&-nicobar-islands,2020,3,Xiaomi,9794,0.236942059
111,andaman-&-nicobar-islands,2020,3,Vivo,9556,0.231184226
112,andaman-&-nicobar-islands,2020,3,Samsung,7572,0.183186162
113,andaman-&-nicobar-islands,2020,3,Oppo,3730,0.090238297
114,andaman-&-nicobar-islands,2020,3,Realme,2285,0.055280029
115,andaman-&-nicobar-islands,2020,3,OnePlus,1440,0.034837305
116,andaman-&-nicobar-islands,2020,3,Huawei,1213,0.029345591
117,andaman-&-nicobar-islands,2020,3,Motorola,907,0.021942664
118,andaman-&-nicobar-islands,2020,3,Apple,870,0.021047538
119,andaman-&-nicobar-islands,2020,3,Lenovo,606,0.014660699
120,andaman-&-nicobar-islands,2020,3,Others,3362,0.08133543
121,andaman-&-nicobar-islands,2020,4,Xiaomi,12398,0.236621116
122,andaman-&-nicobar-islands,2020,4,Vivo,12275,0.234273609
123,andaman-&-nicobar-islands,2020,4,Samsung,9938,0.189670967
124,andaman-&-nicobar-islands,2020,4,Oppo,4723,0.090140469
125,andaman-&-nicobar-islands,2020,4,Realme,2996,0.057179937
126,andaman-&-nicobar-islands,2020,4,OnePlus,1638,0.031261928
127,andaman-&-nicobar-islands,2020,4,Huawei,1472,0.028093748
128,andaman-&-nicobar-islands,2020,4,Motorola,1032,0.01969616
129,andaman-&-nicobar-islands,2020,4,Apple,973,0.01857012
130,andaman-&-nicobar-islands,2020,4,Lenovo,708,0.013512482
131,andaman-&-nicobar-islands,2020,4,Others,4243,0.080979464
132,andaman-&-nicobar-islands,2021,1,Vivo,13812,0.239135704
133,andaman-&-nicobar-islands,2021,1,Xiaomi,13714,0.237438969
134,andaman-&-nicobar-islands,2021,1,Samsung,10861,0.188043215
135,andaman-&-nicobar-islands,2021,1,Oppo,5158,0.089303646
136,andaman-&-nicobar-islands,2021,1,Realme,3419,0.059195263
137,andaman-&-nicobar-islands,2021,1,OnePlus,1773,0.030697046
138,andaman-&-nicobar-islands,2021,1,Huawei,1575,0.02726895
139,andaman-&-nicobar-islands,2021,1,Motorola,1062,0.018387063
140,andaman-&-nicobar-islands,2021,1,Apple,1056,0.018283182
141,andaman-&-nicobar-islands,2021,1,Tecno,796,0.013781641
142,andaman-&-nicobar-islands,2021,1,Others,4532,0.078465321
143,andaman-&-nicobar-islands,2021,2,Vivo,15056,0.242467187
144,andaman-&-nicobar-islands,2021,2,Xiaomi,14788,0.23815122
145,andaman-&-nicobar-islands,2021,2,Samsung,11476,0.184813592
146,andaman-&-nicobar-islands,2021,2,Oppo,5456,0.087865368
147,andaman-&-nicobar-islands,2021,2,Realme,4034,0.064964973
148,andaman-&-nicobar-islands,2021,2,OnePlus,1981,0.03190273
149,andaman-&-nicobar-islands,2021,2,Huawei,1559,0.025106691
150,andaman-&-nicobar-islands,2021,2,Apple,1153,0.018568323
151,andaman-&-nicobar-islands,2021,2,Motorola,1054,0.016973991
152,andaman-&-nicobar-islands,2021,2,Tecno,974,0.015685643
153,andaman-&-nicobar-islands,2021,2,Others,4564,0.073500282
154,andaman-&-nicobar-islands,2021,3,Vivo,16411,0.245006121
155,andaman-&-nicobar-islands,2021,3,Xiaomi,15938,0.237944522
156,andaman-&-nicobar-islands,2021,3,Samsung,12028,0.179570631
157,andaman-&-nicobar-islands,2021,3,Oppo,5853,0.087381685
158,andaman-&-nicobar-islands,2021,3,Realme,4808,0.071780478
159,andaman-&-nicobar-islands,2021,3,OnePlus,2306,0.03442716
160,andaman-&-nicobar-islands,2021,3,Huawei,1567,0.023394345
161,andaman-&-nicobar-islands,2021,3,Apple,1283,0.0191544
162,andaman-&-nicobar-islands,2021,3,Tecno,1178,0.017586814
163,andaman-&-nicobar-islands,2021,3,Motorola,1017,0.015183184
164,andaman-&-nicobar-islands,2021,3,Others,4593,0.068570661
165,andaman-&-nicobar-islands,2021,4,Vivo,17597,0.245151853
166,andaman-&-nicobar-islands,2021,4,Xiaomi,16968,0.236388966
167,andaman-&-nicobar-islands,2021,4,Samsung,12574,0.175174143
168,andaman-&-nicobar-islands,2021,4,Oppo,6127,0.085358038
169,andaman-&-nicobar-islands,2021,4,Realme,5830,0.081220396
170,andaman-&-nicobar-islands,2021,4,OnePlus,2691,0.037489551
171,andaman-&-nicobar-islands,2021,4,Apple,1490,0.020757871
172,andaman-&-nicobar-islands,2021,4,Huawei,1459,0.020325996
173,andaman-&-nicobar-islands,2021,4,Tecno,1417,0.019740875
174,andaman-&-nicobar-islands,2021,4,Motorola,1055,0.014697687
175,andaman-&-nicobar-islands,2021,4,Others,4572,0.063694622
176,andaman-&-nicobar-islands,2022,1,Vivo,18688,0.244966443
177,andaman-&-nicobar-islands,2022,1,Xiaomi,17957,0.235384333
178,andaman-&-nicobar-islands,2022,1,Samsung,12955,0.169817009
179,andaman-&-nicobar-islands,2022,1,Realme,6769,0.088729551
180,andaman-&-nicobar-islands,2022,1,Oppo,6461,0.084692219
181,andaman-&-nicobar-islands,2022,1,OnePlus,3005,0.039390206
182,andaman-&-nicobar-islands,2022,1,Tecno,1770,0.023201552
183,andaman-&-nicobar-islands,2022,1,Apple,1634,0.021418834
184,andaman-&-nicobar-islands,2022,1,Huawei,1441,0.018888947
185,andaman-&-nicobar-islands,2022,1,Motorola,1050,0.013763633
186,andaman-&-nicobar-islands,2022,1,Others,4558,0.059747273
187,andhra-pradesh,2018,1,Xiaomi,836581,0.250739858
188,andhra-pradesh,2018,1,Samsung,683687,0.204914505
189,andhra-pradesh,2018,1,Vivo,425959,0.12766833
190,andhra-pradesh,2018,1,Oppo,304487,0.091260771
191,andhra-pradesh,2018,1,Realme,236646,0.070927483
192,andhra-pradesh,2018,1,Motorola,129739,0.038885342
193,andhra-pradesh,2018,1,OnePlus,129421,0.038790031
194,andhra-pradesh,2018,1,Apple,123274,0.036947654
195,andhra-pradesh,2018,1,Lenovo,84138,0.025217821
196,andhra-pradesh,2018,1,Huawei,76654,0.022974719
197,andhra-pradesh,2018,1,Others,305864,0.091673485
198,andhra-pradesh,2018,2,Xiaomi,1113800,0.252990319
199,andhra-pradesh,2018,2,Samsung,903290,0.20517474
200,andhra-pradesh,2018,2,Vivo,586965,0.133324172
201,andhra-pradesh,2018,2,Oppo,410549,0.093252759
202,andhra-pradesh,2018,2,Realme,305964,0.069497154
203,andhra-pradesh,2018,2,Motorola,169847,0.03857932
204,andhra-pradesh,2018,2,OnePlus,155418,0.035301894
205,andhra-pradesh,2018,2,Apple,151847,0.034490771
206,andhra-pradesh,2018,2,Lenovo,107441,0.024404321
207,andhra-pradesh,2018,2,Huawei,102929,0.023379458
208,andhra-pradesh,2018,2,Others,394490,0.089605092
209,andhra-pradesh,2018,3,Xiaomi,1385112,0.255197078
210,andhra-pradesh,2018,3,Samsung,1103186,0.203254209
211,andhra-pradesh,2018,3,Vivo,761793,0.140354966
212,andhra-pradesh,2018,3,Oppo,518120,0.095459941
213,andhra-pradesh,2018,3,Realme,379712,0.069959247
214,andhra-pradesh,2018,3,Motorola,203756,0.0375406
215,andhra-pradesh,2018,3,OnePlus,181364,0.033415033
216,andhra-pradesh,2018,3,Apple,175343,0.032305706
217,andhra-pradesh,2018,3,Huawei,134429,0.024767591
218,andhra-pradesh,2018,3,Lenovo,122489,0.022567731
219,andhra-pradesh,2018,3,Others,462313,0.085177897
220,andhra-pradesh,2018,4,Xiaomi,1753802,0.255752865
221,andhra-pradesh,2018,4,Samsung,1388061,0.202417706
222,andhra-pradesh,2018,4,Vivo,1011185,0.147458756
223,andhra-pradesh,2018,4,Oppo,675093,0.098447242
224,andhra-pradesh,2018,4,Realme,476746,0.06952276
225,andhra-pradesh,2018,4,Motorola,250601,0.036544561
226,andhra-pradesh,2018,4,OnePlus,210161,0.03064729
227,andhra-pradesh,2018,4,Apple,209737,0.030585459
228,andhra-pradesh,2018,4,Huawei,176237,0.025700232
229,andhra-pradesh,2018,4,Lenovo,149583,0.021813341
230,andhra-pradesh,2018,4,Others,556203,0.081109789
231,andhra-pradesh,2019,1,Xiaomi,2110547,0.254804076
232,andhra-pradesh,2019,1,Samsung,1688342,0.203831719
233,andhra-pradesh,2019,1,Vivo,1262871,0.152465061
234,andhra-pradesh,2019,1,Oppo,835541,0.100873969
235,andhra-pradesh,2019,1,Realme,564832,0.068191562
236,andhra-pradesh,2019,1,Motorola,291830,0.035232323
237,andhra-pradesh,2019,1,Apple,241108,0.02910871
238,andhra-pradesh,2019,1,OnePlus,237269,0.028645232
239,andhra-pradesh,2019,1,Huawei,220082,0.026570264
240,andhra-pradesh,2019,1,Lenovo,171471,0.02070151
241,andhra-pradesh,2019,1,Others,659126,0.079575575
242,andhra-pradesh,2019,2,Xiaomi,2389374,0.254486445
243,andhra-pradesh,2019,2,Samsung,1914378,0.20389577
244,andhra-pradesh,2019,2,Vivo,1466695,0.156214137
245,andhra-pradesh,2019,2,Oppo,963352,0.102604291
246,andhra-pradesh,2019,2,Realme,641519,0.068326637
247,andhra-pradesh,2019,2,Motorola,324778,0.034591319
248,andhra-pradesh,2019,2,Apple,264860,0.028209598
249,andhra-pradesh,2019,2,OnePlus,254273,0.027082002
250,andhra-pradesh,2019,2,Huawei,250859,0.026718385
251,andhra-pradesh,2019,2,Lenovo,189151,0.020146016
252,andhra-pradesh,2019,2,Others,729764,0.077725399
253,andhra-pradesh,2019,3,Xiaomi,2656468,0.253996173
254,andhra-pradesh,2019,3,Samsung,2123659,0.203052045
255,andhra-pradesh,2019,3,Vivo,1674109,0.160068662
256,andhra-pradesh,2019,3,Oppo,1087660,0.103995786
257,andhra-pradesh,2019,3,Realme,727964,0.069603726
258,andhra-pradesh,2019,3,Motorola,348910,0.033360765
259,andhra-pradesh,2019,3,Apple,286412,0.027385066
260,andhra-pradesh,2019,3,Huawei,282587,0.027019342
261,andhra-pradesh,2019,3,OnePlus,271100,0.025921021
262,andhra-pradesh,2019,3,Lenovo,194180,0.018566373
263,andhra-pradesh,2019,3,Others,805644,0.07703104
264,andhra-pradesh,2019,4,Xiaomi,2985953,0.253953284
265,andhra-pradesh,2019,4,Samsung,2379139,0.202344163
266,andhra-pradesh,2019,4,Vivo,1922141,0.163476793
267,andhra-pradesh,2019,4,Oppo,1241235,0.105566198
268,andhra-pradesh,2019,4,Realme,844668,0.071838442
269,andhra-pradesh,2019,4,Motorola,381692,0.032462647
270,andhra-pradesh,2019,4,Huawei,317290,0.0269853
271,andhra-pradesh,2019,4,Apple,308354,0.026225299
272,andhra-pradesh,2019,4,OnePlus,286412,0.024359147
273,andhra-pradesh,2019,4,Lenovo,208785,0.017757023
274,andhra-pradesh,2019,4,Others,882214,0.075031704
275,andhra-pradesh,2020,1,Xiaomi,3307542,0.253995297
276,andhra-pradesh,2020,1,Samsung,2622762,0.201409147
277,andhra-pradesh,2020,1,Vivo,2165012,0.166257259
278,andhra-pradesh,2020,1,Oppo,1387060,0.106516173
279,andhra-pradesh,2020,1,Realme,960418,0.073753154
280,andhra-pradesh,2020,1,Motorola,411062,0.031566588
281,andhra-pradesh,2020,1,Huawei,348324,0.026748763
282,andhra-pradesh,2020,1,Apple,329329,0.025290085
283,andhra-pradesh,2020,1,OnePlus,298911,0.022954202
284,andhra-pradesh,2020,1,Lenovo,227154,0.017443784
285,andhra-pradesh,2020,1,Others,964486,0.074065547
286,andhra-pradesh,2020,2,Xiaomi,3635594,0.253888025
287,andhra-pradesh,2020,2,Samsung,2888149,0.20169096
288,andhra-pradesh,2020,2,Vivo,2409399,0.168257939
289,andhra-pradesh,2020,2,Oppo,1535129,0.107204179
290,andhra-pradesh,2020,2,Realme,1072165,0.074873557
291,andhra-pradesh,2020,2,Motorola,445380,0.031102661
292,andhra-pradesh,2020,2,Huawei,379220,0.026482445
293,andhra-pradesh,2020,2,Apple,348938,0.024367732
294,andhra-pradesh,2020,2,OnePlus,309208,0.021593227
295,andhra-pradesh,2020,2,Lenovo,243288,0.016989771
296,andhra-pradesh,2020,2,Others,1053205,0.073549504
297,andhra-pradesh,2020,3,Xiaomi,3978789,0.253548707
298,andhra-pradesh,2020,3,Samsung,3154020,0.200990224
299,andhra-pradesh,2020,3,Vivo,2687996,0.171292801
300,andhra-pradesh,2020,3,Oppo,1695723,0.108060109
301,andhra-pradesh,2020,3,Realme,1207622,0.076955827
302,andhra-pradesh,2020,3,Motorola,477313,0.030416816
303,andhra-pradesh,2020,3,Huawei,408520,0.026032976
304,andhra-pradesh,2020,3,Apple,370327,0.023599123
305,andhra-pradesh,2020,3,OnePlus,322028,0.020521265
306,andhra-pradesh,2020,3,Lenovo,260912,0.016626642
307,andhra-pradesh,2020,3,Others,1129155,0.07195551
308,andhra-pradesh,2020,4,Xiaomi,4325662,0.253309843
309,andhra-pradesh,2020,4,Samsung,3419866,0.200266623
310,andhra-pradesh,2020,4,Vivo,2950572,0.172784866
311,andhra-pradesh,2020,4,Oppo,1856052,0.108690009
312,andhra-pradesh,2020,4,Realme,1361491,0.079728622
313,andhra-pradesh,2020,4,Motorola,506158,0.029640504
314,andhra-pradesh,2020,4,Huawei,437125,0.025597947
315,andhra-pradesh,2020,4,Apple,394191,0.023083741
316,andhra-pradesh,2020,4,OnePlus,336518,0.019706422
317,andhra-pradesh,2020,4,Lenovo,276671,0.016201795
318,andhra-pradesh,2020,4,Others,1212259,0.070989628
319,andhra-pradesh,2021,1,Xiaomi,4644641,0.252924664
320,andhra-pradesh,2021,1,Samsung,3635596,0.197976958
321,andhra-pradesh,2021,1,Vivo,3245151,0.176715214
322,andhra-pradesh,2021,1,Oppo,2010506,0.109482424
323,andhra-pradesh,2021,1,Realme,1531645,0.083405972
324,andhra-pradesh,2021,1,Motorola,518115,0.028214035
325,andhra-pradesh,2021,1,Huawei,455604,0.024809988
326,andhra-pradesh,2021,1,Apple,421002,0.022925731
327,andhra-pradesh,2021,1,OnePlus,355922,0.019381789
328,andhra-pradesh,2021,1,Lenovo,277980,0.015137445
329,andhra-pradesh,2021,1,Others,1267571,0.06902578
330,andhra-pradesh,2021,2,Xiaomi,4937684,0.251654243
331,andhra-pradesh,2021,2,Samsung,3798250,0.193581795
332,andhra-pradesh,2021,2,Vivo,3572140,0.182057861
333,andhra-pradesh,2021,2,Oppo,2173037,0.11075111
334,andhra-pradesh,2021,2,Realme,1817804,0.092646287
335,andhra-pradesh,2021,2,Motorola,503072,0.025639592
336,andhra-pradesh,2021,2,Apple,450689,0.022969838
337,andhra-pradesh,2021,2,Huawei,440324,0.022441574
338,andhra-pradesh,2021,2,OnePlus,394851,0.020123995
339,andhra-pradesh,2021,2,Lenovo,261201,0.013312383
340,andhra-pradesh,2021,2,Others,1271853,0.064821322
341,andhra-pradesh,2021,3,Xiaomi,5256707,0.249607429
342,andhra-pradesh,2021,3,Vivo,3981492,0.189055617
343,andhra-pradesh,2021,3,Samsung,3911188,0.185717329
344,andhra-pradesh,2021,3,Oppo,2382363,0.113123197
345,andhra-pradesh,2021,3,Realme,2134616,0.101359275
346,andhra-pradesh,2021,3,Motorola,486971,0.023123141
347,andhra-pradesh,2021,3,Apple,480993,0.022839284
348,andhra-pradesh,2021,3,OnePlus,459011,0.0217955
349,andhra-pradesh,2021,3,Huawei,435214,0.020665532
350,andhra-pradesh,2021,3,Lenovo,245241,0.011644928
351,andhra-pradesh,2021,3,Others,1286102,0.061068767
352,andhra-pradesh,2021,4,Xiaomi,5518238,0.245374667
353,andhra-pradesh,2021,4,Vivo,4381023,0.194807121
354,andhra-pradesh,2021,4,Samsung,4017419,0.17863906
355,andhra-pradesh,2021,4,Oppo,2580845,0.114760179
356,andhra-pradesh,2021,4,Realme,2528884,0.112449675
357,andhra-pradesh,2021,4,Apple,544986,0.024233416
358,andhra-pradesh,2021,4,OnePlus,525373,0.023361302
359,andhra-pradesh,2021,4,Motorola,474422,0.021095708
360,andhra-pradesh,2021,4,Huawei,409934,0.018228177
361,andhra-pradesh,2021,4,Lenovo,224391,0.009977799
362,andhra-pradesh,2021,4,Others,1283514,0.057072895
363,andhra-pradesh,2022,1,Xiaomi,5743382,0.240732408
364,andhra-pradesh,2022,1,Vivo,4772765,0.200049241
365,andhra-pradesh,2022,1,Samsung,4124296,0.172868827
366,andhra-pradesh,2022,1,Realme,2864092,0.120047694
367,andhra-pradesh,2022,1,Oppo,2780974,0.116563824
368,andhra-pradesh,2022,1,Apple,594003,0.024897486
369,andhra-pradesh,2022,1,OnePlus,580737,0.024341445
370,andhra-pradesh,2022,1,Motorola,463652,0.019433857
371,andhra-pradesh,2022,1,Huawei,401477,0.016827807
372,andhra-pradesh,2022,1,Lenovo,222586,0.009329636
373,andhra-pradesh,2022,1,Others,1309987,0.054907775
374,arunachal-pradesh,2018,1,Xiaomi,5212,0.242474994
375,arunachal-pradesh,2018,1,Samsung,4354,0.202558735
376,arunachal-pradesh,2018,1,Vivo,3523,0.163898581
377,arunachal-pradesh,2018,1,Oppo,2608,0.121330542
378,arunachal-pradesh,2018,1,Realme,1297,0.060339614
379,arunachal-pradesh,2018,1,Apple,628,0.029216097
380,arunachal-pradesh,2018,1,Gionee,563,0.026192138
381,arunachal-pradesh,2018,1,Lenovo,420,0.019539428
382,arunachal-pradesh,2018,1,OnePlus,403,0.018748546
383,arunachal-pradesh,2018,1,Motorola,343,0.015957199
384,arunachal-pradesh,2018,1,Others,2144,0.099744127
385,arunachal-pradesh,2018,2,Xiaomi,8058,0.245050634
386,arunachal-pradesh,2018,2,Samsung,6633,0.201715172
387,arunachal-pradesh,2018,2,Vivo,5591,0.170027066
388,arunachal-pradesh,2018,2,Oppo,4204,0.127847216
389,arunachal-pradesh,2018,2,Realme,1943,0.059088283
390,arunachal-pradesh,2018,2,Apple,869,0.026427029
391,arunachal-pradesh,2018,2,Gionee,730,0.022199921
392,arunachal-pradesh,2018,2,Lenovo,581,0.017668704
393,arunachal-pradesh,2018,2,OnePlus,554,0.016847611
394,arunachal-pradesh,2018,2,Motorola,514,0.015631177
395,arunachal-pradesh,2018,2,Others,3206,0.097497187
396,arunachal-pradesh,2018,3,Xiaomi,11250,0.244980619
397,arunachal-pradesh,2018,3,Samsung,9307,0.202669744
398,arunachal-pradesh,2018,3,Vivo,8226,0.179129829
399,arunachal-pradesh,2018,3,Oppo,5992,0.130482122
400,arunachal-pradesh,2018,3,Realme,2676,0.058272723
401,arunachal-pradesh,2018,3,Apple,1153,0.025107791
402,arunachal-pradesh,2018,3,Gionee,1024,0.02229868
403,arunachal-pradesh,2018,3,OnePlus,740,0.016114281
404,arunachal-pradesh,2018,3,Motorola,722,0.015722312
405,arunachal-pradesh,2018,3,Lenovo,629,0.013697139
406,arunachal-pradesh,2018,3,Others,4203,0.091524759
407,arunachal-pradesh,2018,4,Xiaomi,15097,0.244082649
408,arunachal-pradesh,2018,4,Samsung,12580,0.203388734
409,arunachal-pradesh,2018,4,Vivo,11624,0.187932484
410,arunachal-pradesh,2018,4,Oppo,8328,0.134643989
411,arunachal-pradesh,2018,4,Realme,3613,0.058413633
412,arunachal-pradesh,2018,4,Apple,1517,0.024526289
413,arunachal-pradesh,2018,4,Gionee,1188,0.01920714
414,arunachal-pradesh,2018,4,Motorola,944,0.015262239
415,arunachal-pradesh,2018,4,OnePlus,896,0.014486193
416,arunachal-pradesh,2018,4,Lenovo,831,0.013435297
417,arunachal-pradesh,2018,4,Others,5234,0.084621354
418,arunachal-pradesh,2019,1,Xiaomi,18809,0.244409216
419,arunachal-pradesh,2019,1,Samsung,15537,0.201891966
420,arunachal-pradesh,2019,1,Vivo,14892,0.193510662
421,arunachal-pradesh,2019,1,Oppo,10738,0.139532466
422,arunachal-pradesh,2019,1,Realme,4413,0.057343711
423,arunachal-pradesh,2019,1,Apple,1870,0.024299284
424,arunachal-pradesh,2019,1,Gionee,1310,0.017022493
425,arunachal-pradesh,2019,1,Motorola,1137,0.014774484
426,arunachal-pradesh,2019,1,OnePlus,1114,0.014475616
427,arunachal-pradesh,2019,1,Huawei,972,0.01263043
428,arunachal-pradesh,2019,1,Others,6165,0.080109672
429,arunachal-pradesh,2019,2,Xiaomi,23326,0.243270585
430,arunachal-pradesh,2019,2,Samsung,19719,0.205652605
431,arunachal-pradesh,2019,2,Vivo,18958,0.197716014
